epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,132.59,0.64939,0.93238,1.02187,0.67392,0.69073,0.85257,0.56179,1.62586,1.47904,1.36617,2.82082e-05,2.82082e-05,2.82082e-05
40,135.536,0.80206,0.83749,1.16672,0.67392,0.69073,0.85257,0.56179,1.62586,1.47904,1.36617,2.84911e-05,2.84911e-05,2.84911e-05
41,139.203,0.75781,0.92627,1.06123,0.68197,0.66537,0.76929,0.48791,1.59635,1.48989,1.35829,2.87504e-05,2.87504e-05,2.87504e-05
42,142.613,0.88055,1.88323,1.27759,0.68197,0.66537,0.76929,0.48791,1.59635,1.48989,1.35829,2.89861e-05,2.89861e-05,2.89861e-05
43,149.227,0.84667,1.22095,1.22833,0.67827,0.65,0.76233,0.47306,1.623,1.52936,1.38617,2.91983e-05,2.91983e-05,2.91983e-05
44,156.615,1.07453,0.98547,1.45168,0.67827,0.65,0.76233,0.47306,1.623,1.52936,1.38617,2.93869e-05,2.93869e-05,2.93869e-05
45,163.716,0.61311,0.92529,0.9947,0.69151,0.65,0.76251,0.47229,1.61074,1.54717,1.38155,2.9552e-05,2.9552e-05,2.9552e-05
46,170.481,0.81978,0.99606,1.26957,0.69151,0.65,0.76251,0.47229,1.61074,1.54717,1.38155,2.96935e-05,2.96935e-05,2.96935e-05
47,177.378,0.88549,1.46291,1.36123,0.7362,0.65,0.7323,0.43907,1.62418,1.60228,1.38877,2.98114e-05,2.98114e-05,2.98114e-05
48,184.313,0.78782,1.63506,1.17239,0.7362,0.65,0.7323,0.43907,1.62418,1.60228,1.38877,2.99058e-05,2.99058e-05,2.99058e-05
49,191.32,0.67231,0.72156,1.24494,0.68393,0.6502,0.70529,0.41424,1.6256,1.62178,1.3898,2.99766e-05,2.99766e-05,2.99766e-05
50,198.48,0.80368,0.81104,1.29484,0.68393,0.6502,0.70529,0.41424,1.6256,1.62178,1.3898,3.00238e-05,3.00238e-05,3.00238e-05
51,205.566,0.85836,0.83931,1.15567,0.65906,0.67481,0.69821,0.40628,1.59333,1.63436,1.38244,3.00475e-05,3.00475e-05,3.00475e-05
52,212.336,0.97368,0.96715,1.34764,0.65906,0.67481,0.69821,0.40628,1.59333,1.63436,1.38244,3.00476e-05,3.00476e-05,3.00476e-05
53,219.234,0.64657,0.69977,1.17896,0.65906,0.67481,0.69821,0.40628,1.59333,1.63436,1.38244,3.00242e-05,3.00242e-05,3.00242e-05
54,226.263,0.78479,0.90253,1.23201,0.69112,0.67062,0.69636,0.4082,1.57799,1.67516,1.38298,2.99772e-05,2.99772e-05,2.99772e-05
55,233.389,0.80033,0.95297,1.12093,0.69112,0.67062,0.69636,0.4082,1.57799,1.67516,1.38298,2.99066e-05,2.99066e-05,2.99066e-05
56,240.264,1.09882,1.44355,1.58813,0.69112,0.67062,0.69636,0.4082,1.57799,1.67516,1.38298,2.98125e-05,2.98125e-05,2.98125e-05
57,246.933,0.94406,1.49898,1.37438,0.72278,0.50378,0.69284,0.38717,1.58641,1.70659,1.39312,2.96948e-05,2.96948e-05,2.96948e-05
58,257.417,0.86455,1.45436,1.26643,0.72278,0.50378,0.69284,0.38717,1.58641,1.70659,1.39312,2.95535e-05,2.95535e-05,2.95535e-05
59,265.684,0.78218,0.82753,1.15411,0.72278,0.50378,0.69284,0.38717,1.58641,1.70659,1.39312,2.93887e-05,2.93887e-05,2.93887e-05
60,272.901,0.99661,0.77639,1.54564,0.85594,0.47905,0.67795,0.37421,1.61168,1.7741,1.40952,2.92003e-05,2.92003e-05,2.92003e-05
61,280.102,0.63445,0.68038,1.06296,0.85594,0.47905,0.67795,0.37421,1.61168,1.7741,1.40952,2.89884e-05,2.89884e-05,2.89884e-05
62,287.431,0.70194,0.89364,1.04571,0.85594,0.47905,0.67795,0.37421,1.61168,1.7741,1.40952,2.87529e-05,2.87529e-05,2.87529e-05
63,294.597,0.77044,0.8231,1.15436,0.85561,0.47674,0.67797,0.3742,1.64295,1.85552,1.42562,2.84938e-05,2.84938e-05,2.84938e-05
64,301.017,0.62527,0.65266,1.06663,0.85561,0.47674,0.67797,0.3742,1.64295,1.85552,1.42562,2.82112e-05,2.82112e-05,2.82112e-05
65,308.279,0.66166,0.68564,1.21661,0.85561,0.47674,0.67797,0.3742,1.64295,1.85552,1.42562,2.7905e-05,2.7905e-05,2.7905e-05
66,315.213,0.6845,0.91744,1.0811,0.85192,0.47717,0.67714,0.37589,1.71029,1.91394,1.44913,2.75753e-05,2.75753e-05,2.75753e-05
67,322.075,0.73692,1.11042,1.1019,0.85192,0.47717,0.67714,0.37589,1.71029,1.91394,1.44913,2.7222e-05,2.7222e-05,2.7222e-05
68,329.031,1.04194,1.77547,1.406,0.85192,0.47717,0.67714,0.37589,1.71029,1.91394,1.44913,2.68451e-05,2.68451e-05,2.68451e-05
69,335.734,0.64123,1.10047,1.12463,0.84146,0.48622,0.56784,0.28834,1.65775,1.95423,1.42158,2.64447e-05,2.64447e-05,2.64447e-05
70,342.857,0.97879,0.86516,1.43021,0.84146,0.48622,0.56784,0.28834,1.65775,1.95423,1.42158,2.60207e-05,2.60207e-05,2.60207e-05
71,349.871,0.94809,1.28705,1.31568,0.84146,0.48622,0.56784,0.28834,1.65775,1.95423,1.42158,2.55731e-05,2.55731e-05,2.55731e-05
72,356.653,0.59467,0.63796,1.07495,0.8403,0.48543,0.54678,0.27608,1.72531,2.00133,1.44505,2.5102e-05,2.5102e-05,2.5102e-05
73,362.051,0.68847,0.90614,1.04422,0.8403,0.48543,0.54678,0.27608,1.72531,2.00133,1.44505,2.46073e-05,2.46073e-05,2.46073e-05
74,369.148,0.72143,0.59377,1.21802,0.8403,0.48543,0.54678,0.27608,1.72531,2.00133,1.44505,2.40891e-05,2.40891e-05,2.40891e-05
75,376.038,0.73001,0.55255,1.1407,0.84014,0.48277,0.54726,0.26976,1.77407,1.99713,1.4638,2.35472e-05,2.35472e-05,2.35472e-05
76,383.09,0.6346,0.73503,1.12808,0.84014,0.48277,0.54726,0.26976,1.77407,1.99713,1.4638,2.29819e-05,2.29819e-05,2.29819e-05
