epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.615,1.33611,2.86921,1.64364,0.57453,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,18.6086,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64595,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,22.0424,1.16009,3.63341,1.57315,0.55956,0.85,0.85083,0.61618,1.66648,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,25.3145,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,28.4802,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.6585,1.04085,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,31.6252,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68524,1.05847,1.37761,5.65548e-06,5.65548e-06,5.65548e-06
7,34.7608,1.13976,1.91306,1.41952,0.53944,0.85173,0.89406,0.64255,1.68388,1.05926,1.37699,6.71588e-06,6.71588e-06,6.71588e-06
8,38.2917,1.37612,4.01879,1.61443,0.55029,0.85949,0.85911,0.61257,1.64325,1.0573,1.3529,7.75273e-06,7.75273e-06,7.75273e-06
9,41.4888,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.66472,1.05931,1.36335,8.76602e-06,8.76602e-06,8.76602e-06
10,44.8538,1.18655,3.4473,1.59516,0.57996,0.86406,0.81417,0.59502,1.65654,1.0565,1.35665,9.75574e-06,9.75574e-06,9.75574e-06
11,48.0368,1.20761,2.46919,1.45278,0.59064,0.8637,0.85595,0.61995,1.6537,1.06312,1.35595,1.07219e-05,1.07219e-05,1.07219e-05
12,51.069,0.9914,2.00612,1.36598,0.58565,0.86399,0.85561,0.62083,1.66273,1.07365,1.36357,1.16645e-05,1.16645e-05,1.16645e-05
13,54.6273,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64956,1.07338,1.35354,1.25835e-05,1.25835e-05,1.25835e-05
14,58.029,1.08319,2.18872,1.48359,0.59792,0.86667,0.88803,0.62731,1.65286,1.09391,1.35795,1.3479e-05,1.3479e-05,1.3479e-05
15,61.1458,0.92888,1.64807,1.12293,0.60723,0.86667,0.88802,0.62731,1.65193,1.1015,1.35905,1.43509e-05,1.43509e-05,1.43509e-05
16,64.2901,1.22329,2.48045,1.62352,0.61054,0.86667,0.87512,0.62676,1.66353,1.12301,1.36865,1.51993e-05,1.51993e-05,1.51993e-05
17,67.4209,0.84442,1.78452,1.19115,0.62052,0.7,0.87291,0.62795,1.66266,1.13336,1.37158,1.60241e-05,1.60241e-05,1.60241e-05
18,70.4513,1.1567,1.55189,1.36045,0.62052,0.7,0.87291,0.62795,1.66266,1.13336,1.37158,1.68253e-05,1.68253e-05,1.68253e-05
19,73.5528,0.97843,1.90562,1.1355,0.7748,0.65,0.86188,0.61114,1.66974,1.17695,1.38057,1.7603e-05,1.7603e-05,1.7603e-05
20,76.5743,0.89713,1.53575,1.21098,0.7748,0.65,0.86188,0.61114,1.66974,1.17695,1.38057,1.83571e-05,1.83571e-05,1.83571e-05
21,79.7624,1.29225,2.49843,1.71345,0.77117,0.65,0.85531,0.6099,1.6824,1.21223,1.38741,1.90876e-05,1.90876e-05,1.90876e-05
22,82.923,1.08324,2.33903,1.51911,0.77117,0.65,0.85531,0.6099,1.6824,1.21223,1.38741,1.97946e-05,1.97946e-05,1.97946e-05
23,86.024,1.05868,1.82064,1.47224,0.74586,0.65,0.85514,0.6192,1.68141,1.23195,1.38513,2.0478e-05,2.0478e-05,2.0478e-05
24,89.4212,1.12417,2.21397,1.54032,0.74586,0.65,0.85514,0.6192,1.68141,1.23195,1.38513,2.11379e-05,2.11379e-05,2.11379e-05
25,92.8623,0.83463,1.46997,1.21033,0.71047,0.6547,0.85534,0.61104,1.68179,1.27391,1.38484,2.17741e-05,2.17741e-05,2.17741e-05
26,96.1048,1.15294,1.85951,1.45072,0.71047,0.6547,0.85534,0.61104,1.68179,1.27391,1.38484,2.23869e-05,2.23869e-05,2.23869e-05
27,99.1311,0.91842,1.67097,1.39783,0.70522,0.66849,0.85545,0.61336,1.70268,1.30257,1.39973,2.2976e-05,2.2976e-05,2.2976e-05
28,102.697,0.80104,1.24169,1.14049,0.70522,0.66849,0.85545,0.61336,1.70268,1.30257,1.39973,2.35417e-05,2.35417e-05,2.35417e-05
